iter	Logloss
0	0.6793634876
1	0.6666924387
2	0.6543001484
3	0.6430966999
4	0.6327293204
5	0.6236526265
6	0.6149284699
7	0.6072523973
8	0.6002290874
9	0.5933065533
10	0.5873003074
11	0.5815130082
12	0.5761035349
13	0.5712620509
14	0.5666102882
15	0.5623753856
16	0.5584292256
17	0.5551140771
18	0.5518038473
19	0.5486235068
20	0.5460133005
21	0.5433860207
22	0.5411448394
23	0.5390504945
24	0.5369622802
25	0.5349951799
26	0.533162856
27	0.5316137702
28	0.5301557318
29	0.5287189591
30	0.5273672929
31	0.5260567254
32	0.5249055282
33	0.5238340677
34	0.5228579072
35	0.5220030274
36	0.5210678623
37	0.5203934606
38	0.5197170575
39	0.5191071855
40	0.5184197618
41	0.5177697069
42	0.5171856864
43	0.5165865995
44	0.5160527084
45	0.5155644013
46	0.5150120153
47	0.514641526
48	0.5143204453
49	0.5139890017
50	0.5136355945
51	0.5131728431
52	0.5128047083
53	0.5125151991
54	0.5121849528
55	0.5118305435
56	0.511569358
57	0.5113816496
58	0.5110894097
59	0.510771568
60	0.5105359928
61	0.5102753616
62	0.5100511745
63	0.5098159124
64	0.5095825052
65	0.5093847296
66	0.5091824946
67	0.5091293817
68	0.5089158132
69	0.5087745216
70	0.5085400175
71	0.5083911624
72	0.508197737
73	0.5080452726
74	0.5078359969
75	0.5076130331
76	0.5074431822
77	0.5072449213
78	0.5070861541
79	0.506945764
80	0.506804346
81	0.506632353
82	0.5064386376
83	0.5062953388
84	0.5061062837
85	0.5060086033
86	0.505871926
87	0.5056905463
88	0.5055900921
89	0.5054066737
90	0.5052681242
91	0.5051169663
92	0.5049749022
93	0.5048188456
94	0.5047242204
95	0.5045862194
96	0.5044330343
97	0.5042700891
98	0.5042037303
99	0.5040811058
100	0.5039313779
101	0.5037708189
102	0.5036986627
103	0.5035370671
104	0.5033723963
105	0.5031810354
106	0.5030479848
107	0.5029091453
108	0.5028051535
109	0.5026288131
110	0.5024837541
111	0.5023057569
112	0.5021724306
113	0.5020500502
114	0.5019187051
115	0.5018136969
116	0.5016702631
117	0.5015273433
118	0.5013994813
119	0.5012815947
120	0.5011659248
121	0.5010300286
122	0.5008551325
123	0.5007585691
124	0.5006466637
125	0.5005313642
126	0.5003854553
127	0.5001856582
128	0.500018627
129	0.4999323376
130	0.4997956373
131	0.4997016783
132	0.4995767538
133	0.4994606618
134	0.4993168289
135	0.4992042343
136	0.4990516062
137	0.4989337455
138	0.498773376
139	0.4986204263
140	0.4984827296
141	0.4983614633
142	0.4982082294
143	0.4981190886
144	0.4980319522
145	0.4979372523
146	0.4977963684
147	0.4977016399
148	0.4975753801
149	0.4974124379
150	0.4973087361
151	0.497202272
152	0.4971226558
153	0.4969831674
154	0.4968373618
155	0.4967179275
156	0.4965708269
157	0.4964198614
158	0.4962928379
159	0.4961869021
160	0.4961038345
161	0.4960293725
162	0.4959217426
163	0.4957956839
164	0.4957093514
165	0.4955831405
166	0.4954574838
167	0.4952487508
168	0.4951254917
169	0.4950158116
170	0.4948875074
171	0.4947114168
172	0.4946033017
173	0.4944648154
174	0.4943027403
175	0.4942087325
176	0.4940607332
177	0.4939089694
178	0.4937545351
179	0.4936907434
180	0.4935344169
181	0.4934270569
182	0.4932810389
183	0.493222209
184	0.493161082
185	0.4930436519
186	0.4929118072
187	0.4927650225
188	0.4926232656
189	0.4925057465
190	0.492361147
191	0.4922179199
192	0.4920884959
193	0.4919187053
194	0.4918262538
195	0.491684741
196	0.4916102876
197	0.4914713764
198	0.4914077541
199	0.491291507
200	0.4911461494
201	0.4910247309
202	0.4908740353
203	0.490790959
204	0.4906994149
205	0.4906113136
206	0.4905312868
207	0.490357568
208	0.4902295079
209	0.4901215593
210	0.4899671768
211	0.4898854242
212	0.4897778374
213	0.4896606486
214	0.4895455127
215	0.4894862665
216	0.4893199819
217	0.4892042115
218	0.4890714508
219	0.4889500467
220	0.4888690781
221	0.4887469302
222	0.4886034907
223	0.4884638156
224	0.4883939279
225	0.4882695058
226	0.4881959857
227	0.4881056476
228	0.4879894149
229	0.4878449043
230	0.4877347533
231	0.4876041233
232	0.4875322025
233	0.4874168428
234	0.4872433193
235	0.4871438184
236	0.4869871703
237	0.4868525834
238	0.4866627042
239	0.486552783
240	0.4864107993
241	0.4862808727
242	0.4861088998
243	0.4859662614
244	0.4858495607
245	0.4857902082
246	0.4856036311
247	0.4854598298
248	0.485374422
249	0.4852956902
250	0.4851649395
251	0.4850186429
252	0.4849466016
253	0.4848243217
254	0.4846946421
255	0.4845793799
256	0.4844437134
257	0.4843054022
258	0.4841955097
259	0.48408792
260	0.4839516849
261	0.4838125554
262	0.4837039492
263	0.4835447628
264	0.4834374373
265	0.4833476103
266	0.483213925
267	0.4831028494
268	0.4829781977
269	0.4828527649
270	0.4827793453
271	0.4826897853
272	0.4826336488
273	0.4825614065
274	0.482426877
275	0.4822455576
276	0.4821294886
277	0.4819861352
278	0.4818096886
279	0.4816591251
280	0.4815752505
281	0.4814407354
282	0.4813517009
283	0.4812375845
284	0.4811280308
285	0.4809851052
286	0.4808530969
287	0.4807220534
288	0.4805647621
289	0.4803924159
290	0.480270515
291	0.4800899536
292	0.4799006602
293	0.4797681206
294	0.4796348747
295	0.4795672094
296	0.4794090308
297	0.4792801007
298	0.4791285264
299	0.478995826
300	0.4788416732
301	0.4786842125
302	0.4785465905
303	0.4783954068
304	0.4782389482
305	0.4781191635
306	0.4779502142
307	0.4778250858
308	0.477660303
309	0.4775444177
310	0.477434327
311	0.4773278084
312	0.4771823847
313	0.4770867287
314	0.4769595932
315	0.4768712852
316	0.4767363193
317	0.4766259213
318	0.4765148945
319	0.4763705993
320	0.4762257844
321	0.4760618228
322	0.4758786197
323	0.4757117263
324	0.4755441898
325	0.4754195438
326	0.4752881327
327	0.4750933807
328	0.4749382688
329	0.4747975773
330	0.4746453167
331	0.4744910663
332	0.4743698258
333	0.4742523412
334	0.4741335357
335	0.4739637221
336	0.4738340712
337	0.4737098387
338	0.4735909327
339	0.4734990382
340	0.473340518
341	0.4731926909
342	0.4730459521
343	0.4728869696
344	0.4727189046
345	0.4725621532
346	0.4724247006
347	0.4722965371
348	0.4721342007
349	0.4719981293
350	0.4718383628
351	0.4716986102
352	0.4715380225
353	0.4713933914
354	0.4712655466
355	0.4711585657
356	0.4710775109
357	0.4709143906
358	0.4707843377
359	0.4706098207
360	0.4704857117
361	0.4702811652
362	0.4701803952
363	0.4700523494
364	0.4699091368
365	0.4697619558
366	0.4696448415
367	0.4694947173
368	0.4693248032
369	0.4692050703
370	0.4690569187
371	0.4689033603
372	0.4687941397
373	0.4686435072
374	0.4685060805
375	0.468378899
376	0.4682226357
377	0.4681023371
378	0.4679521468
379	0.4678521951
380	0.4676574546
381	0.4675686757
382	0.4674438804
383	0.4672881483
384	0.467130857
385	0.4669664187
386	0.4668636329
387	0.4667068384
388	0.4665333694
389	0.466414742
390	0.4662458587
391	0.4661255256
392	0.4660046412
393	0.4659022574
394	0.4658431433
395	0.4656726951
396	0.4655387227
397	0.4653773252
398	0.4652492737
399	0.4651024
400	0.4649926969
401	0.4648764326
402	0.4647177315
403	0.4645814964
404	0.464421282
405	0.4643112889
406	0.4641876623
407	0.4640135358
408	0.46388406
409	0.4637444481
410	0.4636490075
411	0.4635798376
412	0.4634640614
413	0.4633665878
414	0.4631752241
415	0.4630937099
416	0.4629740257
417	0.4628053435
418	0.4626906642
419	0.4625625266
420	0.4624186047
421	0.4623043963
422	0.4621703263
423	0.462033649
424	0.4619094366
425	0.4617987372
426	0.4616315366
427	0.4614401126
428	0.4612671978
429	0.4611164046
430	0.4609846001
431	0.4608164519
432	0.4606768802
433	0.4605895112
434	0.4604742146
435	0.4603302898
436	0.460178928
437	0.4600849575
438	0.4599189974
439	0.4598082807
440	0.4596847029
441	0.4595400689
442	0.4594831657
443	0.4593462903
444	0.4592582809
445	0.4591052795
446	0.4589652857
447	0.4588710827
448	0.4587089099
449	0.4585639888
450	0.4584260538
451	0.4583519622
452	0.4582685902
453	0.4581443175
454	0.458000453
455	0.4577986172
456	0.4576289759
457	0.4574885887
458	0.4573950719
459	0.4572768522
460	0.4571864681
461	0.4570902809
462	0.456914265
463	0.4567582055
464	0.4566644332
465	0.4564778992
466	0.4563450754
467	0.4561951465
468	0.4560844327
469	0.4559987405
470	0.4558693251
471	0.4557921726
472	0.4556662402
473	0.4555317911
474	0.4554283765
475	0.4552903755
476	0.45511616
477	0.4550202341
478	0.4548891101
479	0.4547603666
480	0.45471368
481	0.4545949434
482	0.4544115508
483	0.4542589342
484	0.4541029839
485	0.4540130592
486	0.4539094235
487	0.4537574932
488	0.4536375563
489	0.4534606244
490	0.453313676
491	0.4532017878
492	0.4530604473
493	0.4529265754
494	0.4527945757
495	0.4526683591
496	0.4525482126
497	0.4524103925
498	0.4522524063
499	0.4521350078
500	0.4520136927
501	0.4518888084
502	0.4517461183
503	0.4516065323
504	0.4514830406
505	0.4513974777
506	0.4512708044
507	0.4511765985
508	0.4510847041
509	0.4509315936
510	0.4507932595
511	0.4506750512
512	0.4505445131
513	0.450343665
514	0.4502006993
515	0.4500554996
516	0.44990458
517	0.4497596014
518	0.4496021005
519	0.4494690843
520	0.4493745367
521	0.4492245934
522	0.4490951722
523	0.4489688694
524	0.4488667699
525	0.4487657213
526	0.4486134723
527	0.4484481323
528	0.4482951913
529	0.4481817525
530	0.4480162661
531	0.4479178105
532	0.4478117742
533	0.4477236873
534	0.4476147366
535	0.447433799
536	0.4472811221
537	0.4471487175
538	0.447034693
539	0.4469018663
540	0.4468405468
541	0.4467152777
542	0.446599628
543	0.4464577878
544	0.4463469018
545	0.4462242026
546	0.4460894721
547	0.4459428224
548	0.4458343942
549	0.4457113936
550	0.4455827333
