iter	Passed	Remaining
0	20	20722
1	36	18185
2	55	18508
3	72	18040
4	91	18114
5	112	18718
6	136	19429
7	157	19485
8	173	19054
9	190	18902
10	213	19212
11	243	20052
12	305	23186
13	409	28822
14	436	28694
15	464	28539
16	487	28217
17	521	28430
18	539	27840
19	558	27372
20	578	26967
21	606	26983
22	635	26998
23	660	26856
24	681	26572
25	701	26290
26	728	26237
27	747	25958
28	766	25661
29	787	25465
30	806	25206
31	828	25067
32	863	25309
33	884	25139
34	909	25067
35	934	25013
36	961	25013
37	987	24999
38	1028	25331
39	1050	25209
40	1089	25484
41	1156	26380
42	1216	27068
43	1258	27351
44	1294	27462
45	1321	27408
46	1347	27322
47	1370	27178
48	1390	26982
49	1410	26804
50	1430	26626
51	1457	26579
52	1484	26523
53	1506	26389
54	1530	26299
55	1551	26161
56	1571	25995
57	1589	25820
58	1610	25685
59	1630	25542
60	1650	25405
61	1669	25261
62	1687	25094
63	1708	24979
64	1730	24892
65	1756	24852
66	1780	24789
67	1790	24535
68	1812	24456
69	1832	24346
70	1855	24280
71	1873	24146
72	1904	24187
73	1922	24051
74	1938	23908
75	1957	23804
76	1975	23681
77	1996	23600
78	2014	23488
79	2034	23399
80	2054	23312
81	2073	23208
82	2092	23118
83	2110	23012
84	2127	22897
85	2143	22783
86	2163	22700
87	2184	22636
88	2204	22564
89	2225	22503
90	2247	22452
91	2266	22364
92	2284	22282
93	2305	22223
94	2325	22151
95	2347	22105
96	2369	22060
97	2389	21996
98	2407	21910
99	2432	21892
100	2461	21906
101	2485	21880
102	2508	21844
103	2527	21774
104	2545	21695
105	2565	21634
106	2584	21568
107	2604	21512
108	2628	21489
109	2650	21443
110	2672	21406
111	2696	21381
112	2725	21395
113	2754	21411
114	2788	21457
115	2820	21497
116	2855	21548
117	2887	21583
118	2953	21869
119	3043	22322
120	3099	22513
121	3143	22619
122	3173	22630
123	3210	22677
124	3251	22762
125	3287	22807
126	3324	22854
127	3354	22849
128	3380	22825
129	3404	22781
130	3429	22750
131	3461	22762
132	3496	22793
133	3512	22701
134	3529	22614
135	3545	22524
136	3562	22440
137	3578	22352
138	3594	22267
139	3616	22213
140	3659	22297
141	3692	22312
142	3722	22309
143	3739	22229
144	3756	22150
145	3772	22066
146	3791	21998
147	3808	21922
148	3828	21867
149	3848	21810
150	3868	21749
151	3896	21735
152	3922	21714
153	3940	21647
154	3959	21586
155	3982	21545
156	4003	21495
157	4020	21427
158	4037	21353
159	4054	21288
160	4072	21224
161	4087	21146
162	4103	21069
163	4118	20995
164	4135	20929
165	4155	20876
166	4181	20859
167	4203	20819
168	4224	20770
169	4249	20749
170	4280	20752
171	4304	20722
172	4329	20697
173	4350	20652
174	4372	20612
175	4407	20632
176	4473	20800
177	4541	20972
178	4590	21055
179	4619	21042
180	4649	21037
181	4672	20999
182	4692	20951
183	4712	20900
184	4733	20851
185	4755	20809
186	4790	20826
187	4817	20808
188	4854	20829
189	4888	20840
190	4921	20845
191	4963	20888
192	4993	20878
193	5026	20881
194	5060	20891
195	5084	20857
196	5109	20828
197	5135	20799
198	5174	20827
199	5201	20804
200	5227	20780
201	5253	20754
202	5275	20713
203	5295	20664
204	5313	20607
205	5331	20547
206	5347	20486
207	5366	20433
208	5386	20386
209	5406	20339
210	5425	20288
211	5443	20233
212	5461	20179
213	5484	20144
214	5523	20167
215	5564	20197
216	5582	20144
217	5599	20087
218	5617	20034
219	5638	19992
220	5662	19960
221	5682	19914
222	5709	19892
223	5743	19895
224	5765	19857
225	5791	19834
226	5822	19828
227	5851	19813
228	5873	19776
229	5897	19742
230	5919	19705
231	5939	19662
232	5966	19640
233	5995	19627
234	6021	19602
235	6042	19561
236	6064	19524
237	6087	19491
238	6109	19452
239	6129	19410
240	6147	19361
241	6166	19315
242	6186	19271
243	6206	19228
244	6224	19182
245	6241	19131
246	6261	19087
247	6278	19039
248	6298	18997
249	6321	18964
250	6341	18922
251	6359	18875
252	6376	18825
253	6394	18779
254	6411	18732
255	6430	18689
256	6447	18641
257	6464	18592
258	6481	18543
259	6497	18494
260	6516	18450
261	6535	18408
262	6554	18366
263	6571	18319
264	6587	18270
265	6605	18227
266	6624	18185
267	6644	18148
268	6663	18108
269	6681	18064
270	6699	18020
271	6714	17972
272	6731	17925
273	6748	17881
274	6766	17838
275	6783	17794
276	6801	17752
277	6819	17709
278	6837	17670
279	6854	17624
280	6873	17586
281	6890	17542
282	6906	17499
283	6924	17456
284	6940	17412
285	6960	17377
286	6980	17341
287	7000	17307
288	7021	17275
289	7043	17245
290	7061	17205
291	7078	17163
292	7096	17123
293	7115	17087
294	7136	17055
295	7157	17022
296	7177	16989
297	7197	16954
298	7215	16915
299	7232	16876
300	7250	16836
301	7268	16798
302	7284	16757
303	7302	16718
304	7325	16692
305	7344	16656
306	7376	16650
307	7392	16608
308	7408	16568
309	7424	16525
310	7441	16486
311	7457	16445
312	7479	16416
313	7497	16380
314	7513	16339
315	7530	16299
316	7546	16259
317	7562	16219
318	7579	16180
319	7595	16141
320	7612	16102
321	7631	16067
322	7650	16034
323	7665	15994
324	7684	15960
325	7703	15927
326	7723	15895
327	7741	15859
328	7758	15823
329	7775	15785
330	7792	15750
331	7809	15712
332	7825	15674
333	7840	15635
334	7856	15596
335	7874	15560
336	7892	15527
337	7912	15497
338	7929	15460
339	7944	15420
340	7960	15384
341	7977	15348
342	7993	15311
343	8009	15274
344	8026	15238
345	8054	15224
346	8068	15184
347	8085	15148
348	8107	15123
349	8134	15106
350	8153	15076
351	8172	15045
352	8191	15014
353	8210	14982
354	8227	14947
355	8244	14914
356	8265	14887
357	8285	14858
358	8311	14840
359	8333	14815
360	8364	14806
361	8391	14789
362	8411	14760
363	8431	14731
364	8452	14704
365	8474	14679
366	8496	14654
367	8513	14621
368	8531	14589
369	8554	14565
370	8572	14533
371	8589	14499
372	8606	14466
373	8624	14435
374	8645	14409
375	8663	14377
376	8683	14349
377	8701	14317
378	8721	14290
379	8739	14258
380	8756	14225
381	8775	14196
382	8795	14169
383	8819	14147
384	8840	14122
385	8864	14100
386	8894	14089
387	8922	14073
388	8949	14056
389	8971	14033
390	8992	14006
391	9011	13976
392	9031	13948
393	9052	13923
394	9072	13896
395	9091	13867
396	9111	13839
397	9129	13808
398	9146	13777
399	9164	13746
400	9181	13715
401	9201	13688
402	9217	13655
403	9236	13626
404	9254	13596
405	9273	13567
406	9291	13537
407	9308	13506
408	9326	13476
409	9345	13449
410	9363	13419
411	9386	13395
412	9410	13374
413	9435	13355
414	9458	13333
415	9476	13303
416	9494	13274
417	9513	13245
418	9530	13215
419	9550	13189
420	9571	13164
421	9591	13136
422	9613	13112
423	9647	13105
424	9665	13076
425	9681	13045
426	9700	13017
427	9717	12986
428	9735	12958
429	9756	12932
430	9776	12906
431	9795	12879
432	9814	12852
433	9833	12824
434	9854	12799
435	9874	12773
436	9891	12743
437	9908	12713
438	9929	12688
439	9949	12662
440	9967	12635
441	9987	12608
442	10008	12584
443	10030	12560
444	10055	12541
445	10079	12520
446	10097	12492
447	10113	12461
448	10130	12431
449	10149	12404
450	10166	12375
451	10182	12345
452	10202	12319
453	10220	12291
454	10238	12263
455	10263	12244
456	10281	12216
457	10300	12190
458	10321	12165
459	10340	12138
460	10360	12113
461	10378	12085
462	10405	12068
463	10433	12052
464	10458	12033
465	10484	12014
466	10507	11992
467	10542	11983
468	10567	11963
469	10588	11940
470	10610	11917
471	10634	11895
472	10657	11874
473	10677	11848
474	10699	11825
475	10723	11805
476	10751	11788
477	10772	11763
478	10797	11743
479	10817	11719
480	10834	11690
481	10854	11665
482	10876	11642
483	10899	11619
484	10921	11596
485	10948	11579
486	10972	11558
487	10994	11534
488	11019	11515
489	11038	11488
490	11054	11460
491	11071	11431
492	11089	11404
493	11106	11376
494	11126	11351
495	11144	11324
496	11161	11296
497	11180	11270
498	11197	11242
499	11215	11215
500	11233	11188
501	11251	11161
502	11266	11132
503	11282	11103
504	11299	11075
505	11313	11045
506	11332	11019
507	11351	10994
508	11368	10965
509	11384	10937
510	11399	10908
511	11416	10881
512	11434	10855
513	11451	10827
514	11467	10799
515	11482	10770
516	11499	10743
517	11523	10722
518	11556	10710
519	11580	10690
520	11605	10670
521	11630	10650
522	11659	10633
523	11689	10618
524	11711	10596
525	11733	10573
526	11755	10550
527	11774	10525
528	11792	10499
529	11814	10477
530	11834	10452
531	11851	10426
532	11868	10398
533	11885	10372
534	11902	10345
535	11919	10318
536	11939	10294
537	11961	10271
538	11981	10247
539	12005	10227
540	12029	10205
541	12060	10191
542	12085	10171
543	12108	10149
544	12132	10129
545	12157	10109
546	12178	10085
547	12197	10060
548	12216	10035
549	12233	10008
550	12249	9981
551	12265	9954
552	12281	9927
553	12298	9901
554	12319	9878
555	12340	9854
556	12363	9833
557	12398	9821
558	12419	9798
559	12441	9775
560	12460	9751
561	12479	9725
562	12496	9699
563	12512	9672
564	12529	9646
565	12548	9621
566	12564	9595
567	12581	9569
568	12599	9543
569	12616	9517
570	12634	9492
571	12650	9465
572	12667	9440
573	12685	9414
574	12701	9387
575	12719	9362
576	12735	9336
577	12751	9309
578	12767	9283
579	12787	9260
580	12808	9237
581	12825	9211
582	12849	9190
583	12868	9166
584	12889	9143
585	12912	9122
586	12932	9099
587	12955	9077
588	12972	9052
589	12990	9027
590	13007	9001
591	13023	8975
592	13039	8949
593	13056	8924
594	13073	8898
595	13089	8872
596	13105	8846
597	13121	8820
598	13136	8794
599	13154	8769
600	13172	8744
601	13187	8718
602	13203	8692
603	13218	8666
604	13235	8641
605	13255	8617
606	13273	8594
607	13294	8571
608	13316	8549
609	13334	8525
610	13351	8500
611	13368	8475
612	13391	8454
613	13410	8430
614	13428	8406
615	13445	8381
616	13462	8356
617	13479	8331
618	13495	8306
619	13515	8283
620	13534	8260
621	13552	8235
622	13585	8220
623	13602	8196
624	13618	8171
625	13635	8146
626	13657	8124
627	13677	8101
628	13706	8084
629	13722	8059
630	13742	8036
631	13762	8013
632	13783	7991
633	13806	7970
634	13824	7946
635	13845	7924
636	13865	7901
637	13889	7881
638	13925	7866
639	13952	7848
640	13978	7828
641	14007	7811
642	14032	7790
643	14057	7770
644	14083	7751
645	14106	7730
646	14128	7708
647	14153	7688
648	14185	7671
649	14207	7649
650	14230	7628
651	14250	7605
652	14266	7581
653	14285	7557
654	14307	7536
655	14328	7513
656	14353	7493
657	14374	7471
658	14397	7449
659	14422	7429
660	14448	7410
661	14471	7388
662	14502	7371
663	14522	7348
664	14540	7324
665	14557	7300
666	14582	7280
667	14603	7258
668	14627	7237
669	14645	7213
670	14663	7189
671	14684	7167
672	14704	7144
673	14728	7123
674	14752	7102
675	14772	7080
676	14794	7058
677	14811	7034
678	14831	7011
679	14856	6991
680	14874	6967
681	14895	6945
682	14914	6922
683	14930	6897
684	14946	6873
685	14963	6849
686	14980	6825
687	14998	6801
688	15019	6779
689	15035	6755
690	15052	6731
691	15076	6710
692	15113	6695
693	15159	6684
694	15210	6674
695	15252	6661
696	15308	6654
697	15353	6642
698	15398	6630
699	15435	6615
700	15473	6600
701	15504	6581
702	15533	6562
703	15567	6545
704	15601	6528
705	15644	6515
706	15674	6495
707	15709	6479
708	15740	6460
709	15769	6441
710	15798	6421
711	15825	6401
712	15846	6378
713	15869	6356
714	15893	6335
715	15911	6311
716	15933	6288
717	15958	6267
718	15990	6249
719	16011	6226
720	16036	6205
721	16063	6184
722	16087	6163
723	16106	6140
724	16123	6115
725	16142	6092
726	16172	6073
727	16186	6047
728	16201	6022
729	16217	5998
730	16234	5974
731	16254	5950
732	16269	5926
733	16290	5903
734	16314	5882
735	16335	5859
736	16358	5837
737	16374	5813
738	16392	5789
739	16410	5765
740	16433	5743
741	16455	5721
742	16473	5698
743	16491	5674
744	16509	5651
745	16527	5627
746	16545	5603
747	16563	5580
748	16580	5556
749	16604	5534
750	16630	5514
751	16654	5492
752	16676	5470
753	16699	5448
754	16716	5424
755	16733	5400
756	16753	5377
757	16782	5358
758	16809	5337
759	16833	5315
760	16858	5294
761	16880	5272
762	16900	5249
763	16916	5225
764	16934	5202
765	16952	5178
766	16971	5155
767	16990	5132
768	17008	5109
769	17029	5086
770	17054	5065
771	17080	5044
772	17100	5021
773	17122	4999
774	17142	4976
775	17162	4954
776	17188	4933
777	17208	4910
778	17229	4887
779	17245	4864
780	17262	4840
781	17279	4816
782	17294	4793
783	17310	4769
784	17328	4745
785	17343	4722
786	17370	4701
787	17390	4678
788	17408	4655
789	17432	4633
790	17449	4610
791	17466	4587
792	17483	4563
793	17499	4540
794	17514	4516
795	17531	4493
796	17548	4469
797	17565	4446
798	17585	4423
799	17603	4400
800	17619	4377
801	17637	4354
802	17655	4331
803	17677	4309
804	17701	4287
805	17727	4266
806	17751	4245
807	17784	4225
808	17833	4210
809	17861	4189
810	17885	4168
811	17908	4146
812	17930	4124
813	17949	4101
814	17969	4078
815	17988	4056
816	18008	4033
817	18027	4011
818	18046	3988
819	18066	3965
820	18087	3943
821	18110	3921
822	18150	3903
823	18169	3880
824	18187	3857
825	18204	3834
826	18226	3812
827	18250	3791
828	18270	3768
829	18292	3746
830	18312	3724
831	18332	3701
832	18350	3678
833	18368	3656
834	18389	3633
835	18409	3611
836	18426	3588
837	18442	3565
838	18460	3542
839	18484	3520
840	18514	3500
841	18544	3479
842	18563	3457
843	18584	3434
844	18632	3417
845	18652	3395
846	18672	3373
847	18691	3350
848	18707	3327
849	18723	3304
850	18741	3281
851	18760	3258
852	18778	3236
853	18801	3214
854	18821	3192
855	18854	3171
856	18881	3150
857	18899	3127
858	18914	3104
859	18930	3081
860	18948	3059
861	18968	3036
862	18988	3014
863	19008	2992
864	19027	2969
865	19044	2946
866	19062	2924
867	19082	2901
868	19104	2879
869	19122	2857
870	19140	2834
871	19162	2812
872	19181	2790
873	19199	2767
874	19215	2745
875	19233	2722
876	19250	2699
877	19267	2677
878	19285	2654
879	19303	2632
880	19320	2609
881	19338	2587
882	19354	2564
883	19370	2541
884	19387	2519
885	19405	2496
886	19421	2474
887	19442	2452
888	19464	2430
889	19483	2408
890	19505	2386
891	19522	2363
892	19538	2341
893	19556	2318
894	19573	2296
895	19590	2273
896	19607	2251
897	19628	2229
898	19645	2207
899	19665	2185
900	19682	2162
901	19700	2140
902	19715	2117
903	19734	2095
904	19753	2073
905	19774	2051
906	19793	2029
907	19813	2007
908	19832	1985
909	19850	1963
910	19871	1941
911	19890	1919
912	19909	1897
913	19927	1875
914	19946	1852
915	19964	1830
916	19982	1808
917	20000	1786
918	20018	1764
919	20037	1742
920	20055	1720
921	20076	1698
922	20095	1676
923	20113	1654
924	20132	1632
925	20152	1610
926	20170	1588
927	20190	1566
928	20206	1544
929	20224	1522
930	20242	1500
931	20262	1478
932	20281	1456
933	20299	1434
934	20316	1412
935	20335	1390
936	20352	1368
937	20370	1346
938	20389	1324
939	20406	1302
940	20424	1280
941	20443	1258
942	20461	1236
943	20481	1215
944	20503	1193
945	20521	1171
946	20540	1149
947	20557	1127
948	20574	1105
949	20593	1083
950	20611	1062
951	20628	1040
952	20646	1018
953	20664	996
954	20681	974
955	20701	952
956	20718	930
957	20735	909
958	20754	887
959	20772	865
960	20790	843
961	20808	821
962	20825	800
963	20844	778
964	20862	756
965	20883	735
966	20899	713
967	20918	691
968	20936	669
969	20956	648
970	20975	626
971	20995	604
972	21016	583
973	21036	561
974	21057	539
975	21081	518
976	21106	496
977	21130	475
978	21152	453
979	21173	432
980	21192	410
981	21212	388
982	21235	367
983	21254	345
984	21275	323
985	21296	302
986	21317	280
987	21336	259
988	21354	237
989	21372	215
990	21392	194
991	21413	172
992	21431	151
993	21450	129
994	21470	107
995	21489	86
996	21508	64
997	21528	43
998	21546	21
999	21568	0
